,sentence:,gloss,label,prob1,prob2
15,"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .",make mandatory,1,0.8411353230476379,0.4100691080093384
16,"This is a Johnson-era , Great Society creation that mandates certain government contracts be awarded noncompetitively to minority businesses .",assign under a mandate,0,0.43782123923301697,0.7184039950370789
17,"Mr. Neuberger realized that , although of Italian ancestry , Mr. Mariotta still could qualify as a minority person since he was born in Puerto Rico .",pronounce fit or able,0,0.48020246624946594,0.2129988968372345
18,"Besides being a `` minority-owned company `` Wedtech was located in the South Bronx , a blighted area , made famous by Jimmy Carter in his 1976 presidential campaign .",give certain properties to something,1,0.3056122362613678,0.6175586581230164
19,The company plugged itself right into Carter campaign rhetoric about rebuilding the South Bronx and kept using the minority -- South Bronx angle through the Reagan '80s .,"keep in a certain state, position, or activity; e.g., ""keep clean""",0,0.13721388578414917,0.41491231322288513
20,"Starting with Congressman Mario Biaggi now serving a jail sentence , the company began a career of bribing federal , state and local public officials and those close to public officials , right up to and including E. Robert Wallach , close friend and adviser to former Attorney General Ed Meese .",the period of time a prisoner is imprisoned,1,0.5032408237457275,0.7817688584327698
21,"Starting with Congressman Mario Biaggi now serving a jail sentence , the company began a career of bribing federal , state and local public officials and those close to public officials , right up to and including E. Robert Wallach , close friend and adviser to former Attorney General Ed Meese .",take the first step or steps in carrying out an action,0,0.2216050773859024,0.5617847442626953
22,"Starting with Congressman Mario Biaggi now serving a jail sentence , the company began a career of bribing federal , state and local public officials and those close to public officials , right up to and including E. Robert Wallach , close friend and adviser to former Attorney General Ed Meese .",make illegal payments to in exchange for favors or influence,1,0.24537202715873718,0.5568710565567017
23,"When necessary , it sought and received assistance from organized crime .",try to get or reach,1,0.3281330168247223,0.7395651340484619
24,Wedtech management used the merit system .,an organized structure for arranging or classifying,0,0.17680276930332184,0.6582849025726318
25,"Absorbed in doling out `` Feeding Frenzy 's `` tidbits , the authors gloss over the root causes of Wedtech , namely the Section 8 A federal program under whose auspices the scandal took place .",disgraceful gossip about the private lives of other people,0,0.6281030774116516,0.9227237701416016
26,Programs like Section 8 A are a little like leaving gold in the street and then expressing surprise when thieves walk by to scoop it up .,give expression to,1,0.6544223427772522,0.9171046614646912
27,"They know that whenever government is redistributing wealth , regulating commerce or maintaining a large defense establishment , there is big money to be made in influencing , brokering or selling the processes and decisions of government .","keep in a certain state, position, or activity; e.g., ""keep clean""",0,0.3900664448738098,0.7162008285522461
28,How many government programs and policies exist because they line the pockets of political insiders ?,a supply of money,1,0.06561076641082764,0.4367174506187439
29,I had to reach back to French 101 when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether I wanted to ride in a montgolfiere .,"sit and travel on the back of animal, usually while controlling its motions",0,0.5597963929176331,0.28377413749694824
30,Back in the U.S.A. this kind of chi-chi airborne activity wins heartwarmingly covetous responses .,win something through one's efforts,0,0.11609169095754623,0.4140438139438629
31,"During the past 25 years , the number of balloonists those who have passed a Federal Aviation Authority lighter-than-air test have swelled from a couple hundred to several thousand , with some estimates running as high as 10,000 .",a concept of quantity involving zero and units,0,0.21776771545410156,0.6628374457359314
32,The condom balloon was denied official entry status this year .,refuse to let have,0,0.3116573393344879,0.7233788967132568
33,"Feeling the naggings of a culture imperative , I promptly signed up .",engage by written agreement,0,0.39218825101852417,0.8828698992729187
34,"The first thing anybody will tell you about ballooning is that it requires zip in the way of athletic prowess , or even a measure of derring-do .",express in words,0,0.19438210129737854,0.5033251643180847
35,"They will also tell you that even if you hate heights , you can still balloon .",express in words,0,0.234416663646698,0.5351954102516174
36,"They will also tell you that even if you hate heights , you can still balloon .",ride in a hot-air balloon,1,0.41027626395225525,0.15602552890777588
37,In between came lots of coffee drinking while watching the balloons inflate and lots of standing around deciding who would fly in what balloon and in what order the baskets hold no more than four passengers .,exaggerate or make bigger,0,0.5233679413795471,0.7799769639968872
38,In between came lots of coffee drinking while watching the balloons inflate and lots of standing around deciding who would fly in what balloon and in what order the baskets hold no more than four passengers .,have or hold in one's hands or grip,0,0.3921959698200226,0.09555850923061371
39,In between came lots of coffee drinking while watching the balloons inflate and lots of standing around deciding who would fly in what balloon and in what order the baskets hold no more than four passengers .,be the physical support of; carry the weight of,0,0.21758107841014862,0.7535482048988342
40,After long stretches of this attendant ground activity came 20 or so lovely minutes of drifting above the Vosges watching the silver mists rise off the river and the French cows amble about the fields .,"female of domestic cattle: ""`moo-cow' is a child's term""",1,0.6503303050994873,0.9258310794830322
41,"You can go only up or down by heating the balloon 's air with a propane burner , which does make the top of your head feel hot and ride the air currents .",the mass of air surrounding the Earth,0,0.6952825784683228,0.22042866051197052
42,"You can go only up or down by heating the balloon 's air with a propane burner , which does make the top of your head feel hot and ride the air currents .",an apparatus for burning fuel (or refuse),1,0.6348260641098022,0.9163448810577393
43,"You can go only up or down by heating the balloon 's air with a propane burner , which does make the top of your head feel hot and ride the air currents .",a steady flow of a fluid (usually from natural causes),1,0.18204669654369354,0.5018649697303772
44,"`` Attention , `` yelled our pilot as our basket plunged into the canal .",thrust or throw into,0,0.39221763610839844,0.7459040880203247
45,Eventually we came to rest in a soggy patch of field where we had the exquisite pleasure of scrambling out of the basket into the mud while the French half of our ballooning tag team scrambled in .,not move; be in a resting position,1,0.47800931334495544,0.7819095849990845
46,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .",operate or control a vehicle,0,0.8953676223754883,0.2945169508457184
47,"Back in the chase car , we drove around some more , got stuck in a ditch , enlisted the aid of a local farmer to get out the trailer hitch and pull us out of the ditch .",money to support a worthy person or cause,0,0.2977355718612671,0.5540627837181091
48,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .","reach or enter a state, relation, condition, use, or position",1,0.3191567361354828,0.5834842920303345
49,"We finally rendezvoused with our balloon , which had come to rest on a dirt road amid a clutch of Epinalers who watched us disassemble our craft -- another half-an-hour of non-flight activity -- that included the precision routine of yanking the balloon to the ground , punching all the air out of it , rolling it up and cramming it and the basket into the trailer .",follow with the eyes or the mind,0,0.14179463684558868,0.435398668050766
50,It was the most exercise we 'd had all morning and it was followed by our driving immediately to the nearest watering hole .,the act of driving a herd of animals overland,0,0.5101925134658813,0.8558170199394226
51,"This meant returning to the golf course , where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas , me nursing an espresso and my ego .",have as a logical consequence,1,0.29489898681640625,0.54497891664505
52,"This meant returning to the golf course , where we watched a few French duffers maul the first tee while we sat under Cinzano umbrellas , me nursing an espresso and my ego .",split (wood) with a maul and wedges,0,0.2373591512441635,0.7440773844718933
